Candidate,year,Ideology,Lower,Upper
Robert Scott,2023,-2.17,-2.344,-1.984
Robert Scott,2024,-2.204,-2.392,-2.02
Judy Biggert,2010,1.081,0.934,1.233
Judy Biggert,2011,1.057,0.904,1.209
Judy Biggert,2012,1.014,0.891,1.138
Manan Trivedi,2010,-1.893,-2.086,-1.701
Manan Trivedi,2011,-1.905,-2.108,-1.702
Manan Trivedi,2012,-1.913,-2.078,-1.744
Manan Trivedi,2013,-1.972,-2.173,-1.772
Manan Trivedi,2014,-2.027,-2.212,-1.853
"Joseph Sestak, Jr.",2010,-2.189,-2.24,-2.141
"Joseph Sestak, Jr.",2011,-2.159,-2.336,-1.966
"Joseph Sestak, Jr.",2012,-2.125,-2.341,-1.906
Rob Andrews,2010,-2.025,-2.208,-1.849
Rob Andrews,2011,-1.995,-2.185,-1.811
Rob Andrews,2012,-1.92,-2.073,-1.764
Rob Andrews,2013,-1.88,-2.103,-1.65
Linda Sanchez,2010,-2.315,-2.568,-2.074
Linda Sanchez,2011,-2.294,-2.509,-2.085
Linda Sanchez,2012,-2.277,-2.444,-2.113
Linda Sanchez,2013,-2.281,-2.468,-2.09
Linda Sanchez,2014,-2.331,-2.508,-2.152
Linda Sanchez,2015,-2.335,-2.53,-2.144
Linda Sanchez,2016,-2.32,-2.502,-2.135
Linda Sanchez,2017,-2.362,-2.559,-2.162
Linda Sanchez,2018,-2.377,-2.561,-2.197
Linda Sanchez,2019,-2.367,-2.572,-2.168
Linda Sanchez,2020,-2.337,-2.537,-2.143
Linda Sanchez,2021,-2.343,-2.549,-2.138
Linda Sanchez,2022,-2.338,-2.537,-2.144
Linda Sanchez,2023,-2.302,-2.513,-2.084
Linda Sanchez,2024,-2.338,-2.575,-2.105
Benjamin Campos,2012,0.595,0.279,0.901
Benjamin Campos,2013,0.694,0.352,1.028
Benjamin Campos,2014,0.797,0.498,1.105
Steve Womack,2010,1.244,1.088,1.396
Steve Womack,2011,1.31,1.147,1.472
Steve Womack,2012,1.396,1.269,1.526
Steve Womack,2013,1.399,1.239,1.555
Steve Womack,2014,1.434,1.297,1.576
Steve Womack,2015,1.343,1.165,1.506
Steve Womack,2016,1.363,1.201,1.52
Steve Womack,2017,1.494,1.31,1.684
Steve Womack,2018,1.565,1.4,1.729
Steve Womack,2019,1.719,1.501,1.936
Steve Womack,2020,1.869,1.708,2.035
Steve Womack,2021,1.849,1.68,2.021
Steve Womack,2022,1.834,1.666,2.01
Steve Womack,2023,1.565,1.315,1.785
Steve Womack,2024,1.556,1.356,1.755
John Boozman,2010,1.48,1.381,1.581
John Boozman,2011,1.356,1.222,1.478
John Boozman,2012,1.417,1.335,1.5
John Boozman,2013,1.335,1.209,1.457
John Boozman,2014,1.269,1.18,1.358
John Boozman,2015,1.336,1.208,1.469
John Boozman,2016,1.452,1.354,1.551
John Boozman,2017,1.489,1.366,1.615
John Boozman,2018,1.462,1.365,1.56
John Boozman,2019,1.588,1.45,1.731
John Boozman,2020,1.687,1.576,1.796
John Boozman,2021,1.793,1.667,1.914
John Boozman,2022,1.85,1.741,1.96
John Boozman,2023,1.572,1.421,1.718
John Boozman,2024,1.562,1.458,1.67
Adam Smith,2010,-1.867,-2.033,-1.71
Adam Smith,2011,-1.845,-2.016,-1.683
Adam Smith,2012,-1.749,-1.88,-1.615
Adam Smith,2013,-1.918,-2.126,-1.73
Adam Smith,2014,-2.015,-2.17,-1.86
Adam Smith,2015,-2.012,-2.188,-1.848
Adam Smith,2016,-1.979,-2.139,-1.819
Adam Smith,2017,-1.995,-2.177,-1.815
Adam Smith,2018,-1.979,-2.141,-1.814
Adam Smith,2019,-2.066,-2.245,-1.885
Adam Smith,2020,-2.126,-2.291,-1.965
Adam Smith,2021,-2.152,-2.323,-1.979
Adam Smith,2022,-2.202,-2.366,-2.038
Adam Smith,2023,-2.255,-2.44,-2.074
Adam Smith,2024,-2.245,-2.426,-2.066
Denny Heck,2010,-1.983,-2.156,-1.823
Denny Heck,2011,-1.904,-2.119,-1.698
Denny Heck,2012,-1.819,-1.972,-1.661
Denny Heck,2013,-1.866,-2.032,-1.699
Denny Heck,2014,-1.911,-2.051,-1.777
Denny Heck,2015,-1.9,-2.079,-1.719
Denny Heck,2016,-1.843,-2.001,-1.681
Denny Heck,2017,-1.863,-2.046,-1.681
Denny Heck,2018,-1.885,-2.043,-1.73
Denny Heck,2019,-1.877,-2.057,-1.695
Denny Heck,2020,-1.836,-2.026,-1.656
Richard Muri,2010,1.451,1.234,1.672
Richard Muri,2011,1.273,0.957,1.585
Richard Muri,2012,1.088,0.843,1.331
Jeff Denham,2010,1.22,1.023,1.41
Jeff Denham,2011,1.25,1.069,1.426
Jeff Denham,2012,1.295,1.167,1.426
Jeff Denham,2013,1.213,1.036,1.386
Jeff Denham,2014,1.19,1.021,1.356
Jeff Denham,2015,1.188,0.988,1.384
Jeff Denham,2016,1.198,1.012,1.382
Jeff Denham,2017,1.249,1.027,1.466
Jeff Denham,2018,1.396,1.195,1.606
Devin Nunes,2010,1.407,1.206,1.607
Devin Nunes,2011,1.382,1.194,1.578
Devin Nunes,2012,1.388,1.229,1.552
Devin Nunes,2013,1.213,0.978,1.435
Devin Nunes,2014,1.116,0.912,1.311
Devin Nunes,2015,1.114,0.898,1.328
Devin Nunes,2016,1.134,0.918,1.354
Devin Nunes,2017,1.261,0.926,1.677
Devin Nunes,2018,1.871,1.644,2.092
Devin Nunes,2019,1.898,1.67,2.117
Devin Nunes,2020,1.952,1.751,2.163
Devin Nunes,2021,2,1.767,2.237
Gary McDowell,2010,-1.716,-1.908,-1.53
Gary McDowell,2011,-1.705,-1.917,-1.498
Gary McDowell,2012,-1.699,-1.864,-1.531
Dan Benishek,2010,1.565,1.387,1.744
Dan Benishek,2011,1.559,1.391,1.717
Dan Benishek,2012,1.598,1.471,1.723
Dan Benishek,2013,1.576,1.414,1.735
Dan Benishek,2014,1.567,1.428,1.71
Dan Benishek,2015,1.461,1.261,1.656
Dan Benishek,2016,1.388,1.201,1.568
Bart Stupak,2010,-1.42,-1.596,-1.245
Bart Stupak,2011,-1.383,-1.616,-1.15
Bart Stupak,2012,-1.343,-1.572,-1.106
Glenn Thompson,2010,1.553,1.394,1.724
