Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
Herbert Jones Jr.,U.S. House,CD-1,2022,-1.878,-2.113,-1.646,Democratic,Virginia,1
Amanda Waldman,U.S. House,CD-9,2022,-1.377,-1.673,-1.075,Democratic,Pennsylvania,9
Vincent Cavaleri,U.S. House,CD-1,2022,1.599,1.243,1.966,Republican,Washington,1
Scott Collier,U.S. House,CD-7,2022,0.741,0.337,1.128,Republican,Maryland,7
Guy Ciarrocchi,U.S. House,CD-6,2022,1.582,1.313,1.864,Republican,Pennsylvania,6
Paul Lange,U.S. House,CD-15,2022,-1.675,-2.015,-1.333,Democratic,Illinois,15
Tom Weiler,U.S. House,CD-3,2022,1.249,0.937,1.558,Republican,Minnesota,3
Dan McQueen,U.S. House,CD-35,2022,1.192,0.795,1.598,Republican,Texas,35
Cara Mund,U.S. House,CD-1,2022,-1.13,-1.37,-0.892,Other,North Dakota,1
Brad Pfaff,U.S. House,CD-3,2022,-1.908,-2.112,-1.716,Democratic,Wisconsin,3
Geoff Young,U.S. House,CD-6,2022,-1.165,-1.503,-0.825,Democratic,Kentucky,6
Eric Lynn,U.S. House,CD-13,2022,-1.92,-2.125,-1.72,Democratic,Florida,13
Shamaine Daniels,U.S. House,CD-10,2022,-2.165,-2.411,-1.927,Democratic,Pennsylvania,10
Jeffrey Sossa-Paquette,U.S. House,CD-2,2022,0.448,-0.017,0.921,Republican,Massachusetts,2
Erik Olsen,U.S. House,CD-2,2022,1.65,1.355,1.948,Republican,Wisconsin,2
Trish Gunby,U.S. House,CD-2,2022,-1.858,-2.086,-1.632,Democratic,Missouri,2
Chris Dargis,U.S. House,CD-8,2022,1.094,0.745,1.444,Republican,Illinois,8
Stuart Ray,U.S. House,CD-3,2022,1.119,0.787,1.454,Republican,Kentucky,3
Kaylee Peterson,U.S. House,CD-1,2022,-1.417,-1.709,-1.119,Democratic,Idaho,1
Madison Gesiotto,U.S. House,CD-13,2022,2.305,2.067,2.557,Republican,Ohio,13
Mark Gonsalves,U.S. House,CD-7,2022,1.479,1.144,1.813,Republican,Georgia,7
Steven Sams,U.S. House,CD-26,2022,0.744,0.393,1.078,Republican,New York,26
Iro Omere,U.S. House,CD-4,2022,-1.84,-2.267,-1.437,Democratic,Texas,4
Randal Cooper,U.S. House,CD-6,2022,-0.486,-0.864,-0.1,Democratic,Tennessee,6
Scott Gryder,U.S. House,CD-14,2022,1.401,1.045,1.749,Republican,Illinois,14
Karoline Leavitt,U.S. House,CD-1,2022,2.224,2.008,2.456,Republican,New Hampshire,1
Dale Strong,U.S. House,CD-5,2022,1.853,1.656,2.047,Republican,Alabama,5
Dale Strong,U.S. House,CD-5,2024,1.903,1.718,2.09,Republican,Alabama,5
Joshua Throneburg,U.S. House,CD-5,2022,-1.636,-1.883,-1.384,Democratic,Virginia,5
Will Rollins,U.S. House,CD-41,2022,-2,-2.277,-1.722,Democratic,California,41
Danielle Hawk,U.S. House,CD-3,2022,-1.862,-2.179,-1.545,Democratic,Florida,3
Dean Martilli,U.S. House,CD-1,2022,0.894,0.42,1.343,Republican,Massachusetts,1
Tony Vargas,U.S. House,CD-2,2022,-2.252,-2.486,-2.016,Democratic,Nebraska,2
Greg Landsman,U.S. House,CD-1,2022,-1.903,-2.073,-1.725,Democratic,Ohio,1
Greg Landsman,U.S. House,CD-1,2024,-1.913,-2.071,-1.749,Democratic,Ohio,1
Martell Bivings,U.S. House,CD-13,2022,-0.072,-0.539,0.398,Republican,Michigan,13
Max Della Pia,U.S. House,CD-23,2022,-1.538,-1.839,-1.242,Democratic,New York,23
Tina Forte,U.S. House,CD-14,2022,0.652,0.178,1.128,Republican,New York,14
Conor Halbleib,U.S. House,CD-5,2022,-1.142,-1.448,-0.828,Democratic,Kentucky,5
Jennifer Schultz,U.S. House,CD-8,2022,-2.096,-2.45,-1.757,Democratic,Minnesota,8
Matthew Lehman,U.S. House,CD-4,2022,-1.206,-1.539,-0.879,Democratic,Kentucky,4
Mike Collins,U.S. House,CD-10,2022,1.73,1.514,1.941,Republican,Georgia,10
Mike Collins,U.S. House,CD-10,2024,1.77,1.577,1.96,Republican,Georgia,10
Steven Holden,U.S. House,CD-24,2022,-0.966,-1.331,-0.594,Democratic,New York,24
Yesli Vega,U.S. House,CD-7,2022,2.189,1.944,2.433,Republican,Virginia,7
Zach Nunn,U.S. House,CD-3,2022,2.247,2.063,2.437,Republican,Iowa,3
Zach Nunn,U.S. House,CD-3,2024,2.203,2.035,2.37,Republican,Iowa,3
Jrmar Jefferson,U.S. House,CD-1,2022,-2.086,-2.368,-1.818,Democratic,Texas,1
Conrad Kress,U.S. House,CD-1,2022,0.974,0.558,1.387,Republican,Hawaii,1
Christine Villaverde,U.S. House,CD-2,2022,1.118,0.725,1.511,Republican,North Carolina,2
Nick Langworthy,U.S. House,CD-23,2022,1.745,1.561,1.941,Republican,New York,23
Nick Langworthy,U.S. House,CD-23,2024,1.657,1.489,1.829,Republican,New York,23
Claudia Zapata,U.S. House,CD-21,2022,-1.849,-2.126,-1.579,Democratic,Texas,21
Tom Barrett,U.S. House,CD-7,2022,2.097,1.863,2.331,Republican,Michigan,7
Glenn Ivey,U.S. House,CD-4,2022,-2.08,-2.305,-1.847,Democratic,Maryland,4
Glenn Ivey,U.S. House,CD-4,2024,-2.21,-2.419,-2.005,Democratic,Maryland,4
Jeff Warner,U.S. House,CD-4,2022,-0.116,-0.569,0.339,Republican,Maryland,4
Paul Boucher,U.S. House,CD-8,2022,-0.422,-0.842,-0.002,Other,Wisconsin,8
Caesar Gonzales,U.S. House,CD-13,2022,0.527,0.105,0.95,Republican,Georgia,13
Natasha Hill,U.S. House,CD-5,2022,-2.14,-2.381,-1.897,Democratic,Washington,5
Max Rice,U.S. House,CD-9,2022,0.932,0.547,1.32,Republican,Illinois,9
Nathaniel Moran,U.S. House,CD-1,2022,1.693,1.46,1.915,Republican,Texas,1
Nathaniel Moran,U.S. House,CD-1,2024,1.8,1.595,1.999,Republican,Texas,1
Bart Goldberg,U.S. House,CD-5,2022,-1.3,-1.65,-0.939,Democratic,Michigan,5
Max Semenenko,U.S. House,CD-7,2022,0.657,0.253,1.061,Republican,California,7
Ben Clark,U.S. House,CD-9,2022,-0.79,-1.148,-0.446,Democratic,North Carolina,9
Erin Houchin,U.S. House,CD-9,2022,1.634,1.428,1.833,Republican,Indiana,9
Erin Houchin,U.S. House,CD-9,2024,1.698,1.513,1.887,Republican,Indiana,9
Pat Ryan,U.S. House,CD-18,2022,-1.941,-2.112,-1.772,Democratic,New York,18
Pat Ryan,U.S. House,CD-18,2024,-2.059,-2.258,-1.872,Democratic,New York,18
Colin Schmitt,U.S. House,CD-18,2022,1.777,1.493,2.067,Republican,New York,18
Taysha DeVaughan,U.S. House,CD-9,2022,-2.075,-2.369,-1.788,Democratic,Virginia,9
La'Ron Singletary,U.S. House,CD-25,2022,1.371,1.153,1.592,Republican,New York,25
Cicely Davis,U.S. House,CD-5,2022,1.185,0.879,1.498,Republican,Minnesota,5
Tom Patti,U.S. House,CD-9,2022,1.07,0.701,1.436,Republican,California,9
Derek Marshall,U.S. House,CD-23,2022,-1.406,-1.743,-1.06,Democratic,California,23
Karina Lipsman,U.S. House,CD-8,2022,1.239,0.97,1.514,Republican,Virginia,8
Brian Hawkins,U.S. House,CD-25,2022,0.71,0.327,1.099,Republican,California,25
LaShonda Holloway,U.S. House,CD-4,2022,-1.79,-2.052,-1.533,Democratic,Florida,4
Aaron Bean,U.S. House,CD-4,2022,1.726,1.513,1.942,Republican,Florida,4
Aaron Bean,U.S. House,CD-4,2024,1.929,1.741,2.132,Republican,Florida,4
Marcus Flowers,U.S. House,CD-14,2022,-1.627,-1.894,-1.363,Democratic,Georgia,14
Scott Baugh,U.S. House,CD-47,2022,1.881,1.58,2.191,Republican,California,47
Adam Gray,U.S. House,CD-13,2022,-1.023,-1.347,-0.687,Democratic,California,13
John Duarte,U.S. House,CD-13,2022,1.463,1.202,1.718,Republican,California,13
John Duarte,U.S. House,CD-13,2024,1.528,1.303,1.761,Republican,California,13
Jill Tokuda,U.S. House,CD-2,2022,-2.008,-2.226,-1.793,Democratic,Hawaii,2
Jill Tokuda,U.S. House,CD-2,2024,-2.166,-2.376,-1.966,Democratic,Hawaii,2
Lucie Volotzky,U.S. House,CD-32,2022,0.578,0.061,1.088,Republican,California,32
Randi McCallian,U.S. House,CD-8,2022,-0.969,-1.338,-0.609,Democratic,Missouri,8
Jack Truman,U.S. House,CD-4,2022,-0.71,-1.086,-0.317,Democratic,Missouri,4
James Judge,U.S. House,CD-14,2022,0.959,0.556,1.355,Republican,Florida,14
Robert Garcia,U.S. House,CD-42,2022,-2.062,-2.26,-1.852,Democratic,California,42
Robert Garcia,U.S. House,CD-42,2024,-2.196,-2.41,-1.987,Democratic,California,42
Jasmine Crockett,U.S. House,CD-30,2022,-2.222,-2.447,-1.985,Democratic,Texas,30
Jasmine Crockett,U.S. House,CD-30,2024,-2.392,-2.627,-2.175,Democratic,Texas,30
James Rodgers,U.S. House,CD-30,2022,0.616,0.155,1.068,Republican,Texas,30
Stephen Slauson,U.S. House,CD-12,2022,0.363,-0.137,0.881,Republican,California,12
Daryl Scott,U.S. House,CD-7,2022,-1.176,-1.519,-0.844,Democratic,South Carolina,7
Russell Fry,U.S. House,CD-7,2022,1.875,1.686,2.06,Republican,South Carolina,7
Russell Fry,U.S. House,CD-7,2024,1.975,1.81,2.141,Republican,South Carolina,7
Ann Roe,U.S. House,CD-1,2022,-1.859,-2.122,-1.599,Democratic,Wisconsin,1
Eli Crane,U.S. House,CD-2,2022,2.234,2.04,2.438,Republican,Arizona,2
Eli Crane,U.S. House,CD-2,2024,2.117,1.933,2.3,Republican,Arizona,2
Jevin Hodge,U.S. House,CD-1,2022,-1.882,-2.108,-1.658,Democratic,Arizona,1
Paul DeGroot,U.S. House,CD-11,2022,1.586,1.323,1.856,Republican,New Jersey,11
Matt Jacobs,U.S. House,CD-26,2022,0.916,0.506,1.325,Republican,California,26
Shontel Brown,U.S. House,CD-11,2022,-2.349,-2.506,-2.191,Democratic,Ohio,11
Shontel Brown,U.S. House,CD-11,2024,-2.42,-2.579,-2.263,Democratic,Ohio,11
Dan Goldman,U.S. House,CD-10,2022,-1.636,-1.856,-1.402,Democratic,New York,10
Dan Goldman,U.S. House,CD-10,2024,-1.991,-2.205,-1.795,Democratic,New York,10
Benine Hamdan,U.S. House,CD-10,2022,-0.049,-0.489,0.38,Republican,New York,10
Andy Ogles,U.S. House,CD-5,2022,2.156,1.947,2.372,Republican,Tennessee,5
Andy Ogles,U.S. House,CD-5,2024,2.162,1.982,2.348,Republican,Tennessee,5
Chuck Edwards,U.S. House,CD-11,2022,1.649,1.475,1.828,Republican,North Carolina,11
Chuck Edwards,U.S. House,CD-11,2024,1.643,1.469,1.815,Republican,North Carolina,11
Jennifer-Ruth Green,U.S. House,CD-1,2022,2.066,1.821,2.317,Republican,Indiana,1
Donnie Palmer Jr.,U.S. House,CD-7,2022,0.749,0.275,1.237,Republican,Massachusetts,7
Andrea Salinas,U.S. House,CD-6,2022,-2.316,-2.515,-2.111,Democratic,Oregon,6
Andrea Salinas,U.S. House,CD-6,2024,-2.402,-2.579,-2.228,Democratic,Oregon,6
Mike Erickson,U.S. House,CD-6,2022,1.805,1.555,2.053,Republican,Oregon,6
Wendy Norman,U.S. House,CD-2,2022,-1.033,-1.402,-0.666,Democratic,Idaho,2
Corey Gustafson,U.S. House,CD-50,2022,0.789,0.359,1.207,Republican,California,50
Jeffrey Ettinger,U.S. House,CD-1,2022,-1.71,-1.959,-1.464,Democratic,Minnesota,1
Brad Finstad,U.S. House,CD-1,2022,1.729,1.53,1.937,Republican,Minnesota,1
Brad Finstad,U.S. House,CD-1,2024,1.685,1.476,1.903,Republican,Minnesota,1
Stylo Sapaskis,U.S. House,CD-15,2022,0.388,-0.071,0.841,Republican,New York,15
Larry Lazor,U.S. House,CD-1,2022,1.261,0.889,1.649,Republican,Connecticut,1
Laura Jones,U.S. House,CD-8,2022,-0.581,-1.028,-0.138,Democratic,Texas,8
Matt Castelli,U.S. House,CD-21,2022,-1.476,-1.703,-1.254,Democratic,New York,21
Jennifer Qualteri,U.S. House,CD-1,2022,1.065,0.622,1.518,Republican,Colorado,1
Matthew Fyfe,U.S. House,CD-9,2022,-0.967,-1.321,-0.605,Democratic,Indiana,9
Calvin Wimbish,U.S. House,CD-10,2022,1.651,1.298,2.008,Republican,Florida,10
Harriet Hageman,U.S. House,CD-1,2022,2.331,2.107,2.55,Republican,Wyoming,1
Harriet Hageman,U.S. House,CD-1,2024,2.344,2.14,2.555,Republican,Wyoming,1
Barbara Gaskins,U.S. House,CD-3,2022,-1.685,-1.969,-1.401,Democratic,North Carolina,3
Regan Deering,U.S. House,CD-13,2022,1.49,1.214,1.773,Republican,Illinois,13
Lee Stahley,U.S. House,CD-3,2022,0.164,-0.207,0.536,Republican,Ohio,3
Elizabeth Haderlein,U.S. House,CD-16,2022,-1.017,-1.41,-0.641,Democratic,Illinois,16
Kelly Cooper,U.S. House,CD-4,2022,1.776,1.529,2.019,Republican,Arizona,4
Angela Grabovsky,U.S. House,CD-7,2022,0.943,0.544,1.34,Republican,Indiana,7
Adam Frisch,U.S. House,CD-3,2022,-1.705,-1.949,-1.471,Democratic,Colorado,3
Bob Hernandez,U.S. House,CD-4,2022,-1.247,-1.623,-0.875,Democratic,Kansas,4
Jamie Jordan,U.S. House,CD-22,2022,-0.009,-0.629,0.619,Democratic,Texas,22
Douglas Brower,U.S. House,CD-2,2022,0.646,0.153,1.139,Republican,California,2
Lori Chavez-DeRemer,U.S. House,CD-5,2022,1.538,1.328,1.758,Republican,Oregon,5
Lori Chavez-DeRemer,U.S. House,CD-5,2024,1.472,1.3,1.647,Republican,Oregon,5
Laurel Lee,U.S. House,CD-15,2022,1.839,1.646,2.032,Republican,Florida,15
Laurel Lee,U.S. House,CD-15,2024,1.844,1.66,2.028,Republican,Florida,15
Patrick Schmidt,U.S. House,CD-2,2022,-0.828,-1.146,-0.512,Democratic,Kansas,2
Kermit Jones,U.S. House,CD-3,2022,-1.792,-2.056,-1.537,Democratic,California,3
Kevin Kiley,U.S. House,CD-3,2022,1.976,1.759,2.2,Republican,California,3
Kevin Kiley,U.S. House,CD-3,2024,1.917,1.728,2.11,Republican,California,3
Bob Hollister,U.S. House,CD-11,2022,-1.246,-1.506,-0.978,Democratic,Pennsylvania,11
Wes Hallman,U.S. House,CD-28,2022,0.839,0.323,1.347,Republican,California,28
Wiley Nickel,U.S. House,CD-13,2022,-1.911,-2.1,-1.719,Democratic,North Carolina,13
Jeanne Hendricks,U.S. House,CD-6,2022,-1.45,-1.849,-1.05,Democratic,Minnesota,6
Mark Robertson,U.S. House,CD-1,2022,2.008,1.758,2.268,Republican,Nevada,1
Sam Peters,U.S. House,CD-4,2022,2.088,1.858,2.329,Republican,Nevada,4
Robin Fulford,U.S. House,CD-2,2022,-1.174,-1.625,-0.728,Democratic,Texas,2
Jasmine Beach-Ferrara,U.S. House,CD-11,2022,-2.381,-2.611,-2.151,Democratic,North Carolina,11
Val Hoyle,U.S. House,CD-4,2022,-2.427,-2.579,-2.272,Democratic,Oregon,4
Val Hoyle,U.S. House,CD-4,2024,-2.502,-2.657,-2.351,Democratic,Oregon,4
Lessie Leblanc,U.S. House,CD-3,2022,-0.695,-1.304,-0.067,Democratic,Louisiana,3
Matthew Diemer,U.S. House,CD-7,2022,-1.286,-1.633,-0.94,Democratic,Ohio,7
Max Miller,U.S. House,CD-7,2022,1.934,1.734,2.139,Republican,Ohio,7
Max Miller,U.S. House,CD-7,2024,1.868,1.686,2.051,Republican,Ohio,7
Allen Waters,U.S. Senate,Sen-II,2020,0.934,0.668,1.208,Republican,Rhode Island,101
Allen Waters,U.S. House,CD-1,2022,0.995,0.707,1.292,Republican,Rhode Island,1
Robert Burke,U.S. House,CD-8,2022,0.545,0.123,0.964,Republican,Massachusetts,8
Tartisha Hill,U.S. House,CD-5,2022,-1.639,-1.972,-1.308,Democratic,Texas,5
Steven Monahan,U.S. House,CD-6,2022,1.278,0.893,1.667,Republican,Colorado,6
Clyde Benson,U.S. House,CD-4,2022,0.564,-0.032,1.164,Other,Tennessee,4
Naomi Andrews,U.S. House,CD-2,2022,-1.444,-1.794,-1.084,Democratic,Oklahoma,2
Josh Brecheen,U.S. House,CD-2,2022,1.697,1.458,1.927,Republican,Oklahoma,2
Josh Brecheen,U.S. House,CD-2,2024,1.858,1.642,2.073,Republican,Oklahoma,2
Cinde Wirth,U.S. House,CD-6,2022,-1.689,-2.104,-1.273,Democratic,Indiana,6
Bob Christian,U.S. House,CD-6,2022,-1.129,-1.478,-0.782,Democratic,Georgia,6
Laura Gillen,U.S. House,CD-4,2022,-1.608,-1.892,-1.329,Democratic,New York,4
Anthony D'Esposito,U.S. House,CD-4,2022,1.356,1.12,1.577,Republican,New York,4
Anthony D'Esposito,U.S. House,CD-4,2024,1.637,1.436,1.848,Republican,New York,4
Joanne Terry,U.S. House,CD-8,2022,-1.576,-1.876,-1.277,Democratic,Florida,8
John Gibbs,U.S. House,CD-3,2022,2.549,2.288,2.821,Republican,Michigan,3
Mark Ambrose,U.S. House,CD-11,2022,1.382,1.005,1.773,Republican,Michigan,11
Cameron Parsons,U.S. House,CD-1,2022,-0.949,-1.395,-0.5,Democratic,Tennessee,1
Michael Lawler,U.S. House,CD-17,2022,1.788,1.543,2.045,Republican,New York,17
Charles Graham,U.S. House,CD-7,2022,-1.054,-1.349,-0.764,Democratic,North Carolina,7
Jayme Stevenson,U.S. House,CD-4,2022,0.95,0.429,1.47,Republican,Connecticut,4
Adam Martin,U.S. House,CD-1,2022,-1.515,-1.955,-1.072,Democratic,Oklahoma,1
Jared Moskowitz,U.S. House,CD-23,2022,-1.849,-2.035,-1.661,Democratic,Florida,23
Jared Moskowitz,U.S. House,CD-23,2024,-1.86,-2.034,-1.688,Democratic,Florida,23
Bob May,U.S. House,CD-6,2022,1.142,0.755,1.544,Republican,Massachusetts,6
Darius Mayfield,U.S. House,CD-12,2022,0.684,0.234,1.133,Republican,New Jersey,12
Mike Kolls,U.S. House,CD-26,2022,0.794,0.388,1.217,Other,Texas,26
Ray McCormick,U.S. House,CD-8,2022,-1.031,-1.393,-0.661,Democratic,Indiana,8
Mikal Williams,U.S. House,CD-14,2022,-0.857,-1.262,-0.445,Democratic,Texas,14
Mike Ezell,U.S. House,CD-4,2022,1.653,1.443,1.867,Republican,Mississippi,4
Mike Ezell,U.S. House,CD-4,2024,1.696,1.505,1.89,Republican,Mississippi,4
Chris West,U.S. House,CD-2,2022,1.954,1.655,2.262,Republican,Georgia,2
Christian Nascimento,U.S. House,CD-4,2022,1.224,0.943,1.505,Republican,Pennsylvania,4
Johnny DuPree,U.S. House,CD-4,2022,-1.841,-2.13,-1.558,Democratic,Mississippi,4
Lynnette Williams,U.S. House,CD-8,2022,-1.43,-1.817,-1.05,Democratic,Tennessee,8
Catalina Lauf,U.S. House,CD-11,2022,1.988,1.606,2.387,Republican,Illinois,11
Beatrice Nichols,U.S. House,CD-7,2022,-0.327,-0.912,0.283,Republican,Alabama,7
Jonathan Jackson,U.S. House,CD-1,2022,-2.343,-2.572,-2.107,Democratic,Illinois,1
Jonathan Jackson,U.S. House,CD-1,2024,-2.45,-2.661,-2.245,Democratic,Illinois,1
Eric Carlson,U.S. House,CD-1,2022,0.104,-0.401,0.635,Republican,Illinois,1
Eric Ching,U.S. House,CD-38,2022,0.318,-0.106,0.745,Republican,California,38
Luis Pozzolo,U.S. House,CD-7,2022,0.913,0.598,1.233,Republican,Arizona,7
David Torres,U.S. House,CD-5,2022,-1.269,-1.612,-0.94,Democratic,Colorado,5
Michael Kerr,U.S. House,CD-10,2022,-1.025,-1.518,-0.495,Other,California,10
Cliff Moon,U.S. House,CD-7,2022,1.475,1.157,1.796,Republican,Washington,7
Whittney Williams,U.S. House,CD-6,2022,0.209,-0.211,0.611,Republican,Michigan,6
Bethany Mann,U.S. House,CD-3,2022,-1.713,-2.096,-1.334,Democratic,Missouri,3
Mike Ford,U.S. House,CD-9,2022,-0.159,-0.592,0.28,Democratic,Georgia,9
May Lor Xiong,U.S. House,CD-4,2022,0.551,0.254,0.855,Republican,Minnesota,4
Jill Abahsain,U.S. House,CD-7,2022,-1.508,-1.908,-1.102,Democratic,Minnesota,7
Joseph Alfonso,U.S. House,CD-4,2022,-1.775,-2.157,-1.393,Democratic,Michigan,4
Jon Haire,U.S. House,CD-36,2022,-0.181,-0.64,0.26,Democratic,Texas,36
Eric Brewer,U.S. House,CD-11,2022,0.094,-0.292,0.471,Republican,Ohio,11
Bob Lorinser,U.S. House,CD-1,2022,-1.891,-2.134,-1.653,Democratic,Michigan,1
Juddson Larkins,U.S. House,CD-2,2022,-1.109,-1.517,-0.7,Democratic,South Carolina,2
Quintessa Hathaway,U.S. House,CD-2,2022,-1.879,-2.283,-1.477,Democratic,Arkansas,2
Antonio Swad,U.S. House,CD-32,2022,1.222,0.833,1.604,Republican,Texas,32
Tim Alexander,U.S. House,CD-2,2022,-1.858,-2.141,-1.591,Democratic,New Jersey,2
Collin Duprel,U.S. House,CD-1,2022,-1.053,-1.387,-0.722,Other,South Dakota,1
Roger Day,U.S. House,CD-4,2022,-1.094,-1.532,-0.666,Democratic,Indiana,4
Delia Ramirez,U.S. House,CD-3,2022,-2.269,-2.529,-2,Democratic,Illinois,3
Delia Ramirez,U.S. House,CD-3,2024,-2.508,-2.775,-2.255,Democratic,Illinois,3
Alexander Remrey,U.S. House,CD-1,2022,-0.024,-0.501,0.439,Other,Alabama,1
Eric Sorensen,U.S. House,CD-17,2022,-2.119,-2.319,-1.925,Democratic,Illinois,17
Eric Sorensen,U.S. House,CD-17,2024,-2.224,-2.416,-2.043,Democratic,Illinois,17
Karen Green,U.S. House,CD-7,2022,-1.551,-1.873,-1.233,Democratic,Florida,7
Cory Mills,U.S. House,CD-7,2022,1.916,1.7,2.127,Republican,Florida,7
Cory Mills,U.S. House,CD-7,2024,2.104,1.918,2.303,Republican,Florida,7
Craig Swartz,U.S. House,CD-5,2022,-1.242,-1.656,-0.813,Democratic,Ohio,5
Mike Van Someren,U.S. House,CD-5,2022,-1.09,-1.469,-0.705,Democratic,Wisconsin,5
Becca Balint,U.S. House,CD-1,2022,-2.973,-3.185,-2.761,Democratic,Vermont,1
Becca Balint,U.S. House,CD-1,2024,-3.06,-3.258,-2.864,Democratic,Vermont,1
Liam Madden,U.S. House,CD-1,2022,-0.111,-0.505,0.296,Republican,Vermont,1
Seth Magaziner,U.S. House,CD-2,2022,-2.213,-2.421,-2.009,Democratic,Rhode Island,2
Seth Magaziner,U.S. House,CD-2,2024,-2.258,-2.455,-2.058,Democratic,Rhode Island,2
Allan Fung,U.S. House,CD-2,2022,1.574,1.305,1.852,Republican,Rhode Island,2
Jimmy Leon,U.S. House,CD-9,2022,0.22,-0.202,0.644,Republican,Texas,9
Maebe A. Girl,U.S. House,CD-30,2022,-2.752,-3.174,-2.343,Democratic,California,30
April Becker,U.S. House,CD-3,2022,1.97,1.757,2.186,Republican,Nevada,3
Rebekah Jones,U.S. House,CD-1,2022,-1.971,-2.2,-1.745,Democratic,Florida,1
Rob Menendez,U.S. House,CD-8,2022,-1.965,-2.169,-1.77,Democratic,New Jersey,8
Rob Menendez,U.S. House,CD-8,2024,-1.991,-2.192,-1.794,Democratic,New Jersey,8
Marcos Arroyo,U.S. House,CD-8,2022,-0.609,-1.032,-0.174,Republican,New Jersey,8
Brittany Pettersen,U.S. House,CD-7,2022,-1.918,-2.146,-1.68,Democratic,Colorado,7
Brittany Pettersen,U.S. House,CD-7,2024,-2.264,-2.461,-2.07,Democratic,Colorado,7
Antonio Daza-Fernandez,U.S. House,CD-11,2022,-2.187,-2.55,-1.817,Democratic,Georgia,11
Patrick Gillespie,U.S. House,CD-33,2022,1.492,1.054,1.951,Republican,Texas,33
Duncan Klussmann,U.S. House,CD-38,2022,-1.417,-1.846,-0.998,Democratic,Texas,38
Nick Mitchell,U.S. House,CD-2,2022,-0.427,-0.991,0.147,Democratic,Utah,2
Kathy Warner-Stanton,U.S. House,CD-5,2022,-1.176,-1.5,-0.845,Democratic,Alabama,5
Amy Rippel-Elton,U.S. House,CD-12,2022,-1.791,-2.142,-1.448,Democratic,Ohio,12
Yuri Dashevsky,U.S. House,CD-8,2022,0.87,0.412,1.317,Republican,New York,8
Peter Hernandez,U.S. House,CD-18,2022,0.888,0.409,1.353,Republican,California,18
Justin Burau,U.S. House,CD-3,2022,-0.194,-0.626,0.239,Republican,Illinois,3
Jesse Brown,U.S. House,CD-9,2022,-0.753,-1.223,-0.282,Republican,Massachusetts,9
Marisa Wood,U.S. House,CD-20,2022,-0.954,-1.354,-0.54,Democratic,California,20
Chip Markel,U.S. House,CD-12,2022,-1.537,-1.881,-1.201,Democratic,Illinois,12
Daniel Franzese,U.S. House,CD-22,2022,1.472,1.175,1.777,Republican,Florida,22
Bo Hines,U.S. House,CD-13,2022,2.498,2.257,2.755,Republican,North Carolina,13
Joe Hannoush,U.S. House,CD-6,2022,-0.624,-1.063,-0.19,Other,Florida,6
David Esrati,U.S. House,CD-10,2022,-1.734,-2.084,-1.388,Democratic,Ohio,10
Christian Zimm,U.S. House,CD-5,2022,0.793,0.382,1.206,Republican,Georgia,5
Thomas Lynch,U.S. House,CD-2,2022,0.785,0.284,1.267,Republican,Illinois,2
Jonathan Chavez,U.S. House,CD-4,2022,0.745,0.378,1.112,Republican,Georgia,4
Dan Lux,U.S. House,CD-2,2022,0.183,-0.29,0.653,Republican,Louisiana,2
Lesley DeNardis,U.S. House,CD-3,2022,0.603,0.215,0.994,Republican,Connecticut,3
Stan Caplan,U.S. House,CD-51,2022,1.094,0.62,1.58,Republican,California,51
Robert Burns,U.S. House,CD-2,2022,1.906,1.649,2.174,Republican,New Hampshire,2
Trey Hunt,U.S. House,CD-12,2022,-0.062,-0.428,0.302,Democratic,Texas,12
Evangeline Hundley,U.S. House,CD-5,2022,-1.099,-1.451,-0.748,Democratic,South Carolina,5
Kristen Radaker-Sheafer,U.S. House,CD-7,2022,-1.533,-1.845,-1.226,Democratic,Missouri,7
Robert Zimmerman,U.S. House,CD-3,2022,-1.467,-1.765,-1.171,Democratic,New York,3
Jeff Jackson,U.S. House,CD-14,2022,-1.823,-2.021,-1.624,Democratic,North Carolina,14
Daniel Martinez,U.S. House,CD-31,2022,-0.222,-0.746,0.306,Republican,California,31
Shuwaski Young,U.S. House,CD-3,2022,-1.326,-1.748,-0.917,Democratic,Mississippi,3
Kyle Sinclair,U.S. House,CD-20,2022,0.504,0.095,0.912,Republican,Texas,20
Lin Veasey,U.S. House,CD-3,2022,0.092,-0.463,0.658,Democratic,Alabama,3
Matt Kilboy,U.S. House,CD-14,2022,-1.448,-1.784,-1.115,Democratic,Ohio,14
Nick LaLota,U.S. House,CD-1,2022,1.572,1.379,1.769,Republican,New York,1
Nick LaLota,U.S. House,CD-1,2024,1.554,1.379,1.738,Republican,New York,1
Darrius Butler,U.S. House,CD-8,2022,-1.559,-1.972,-1.161,Democratic,Georgia,8
Marshall Dawson,U.S. House,CD-2,2022,1.068,0.551,1.608,Republican,Colorado,2
Louis Lyras,U.S. House,CD-6,2022,-1.434,-1.758,-1.12,Democratic,Ohio,6
John Porter,U.S. House,CD-33,2022,-0.622,-1.204,-0.05,Republican,California,33
Michelle Vallejo,U.S. House,CD-15,2022,-1.559,-1.946,-1.171,Democratic,Texas,15
Tyler Lee,U.S. House,CD-12,2022,1.252,0.859,1.649,Republican,North Carolina,12
Barry Lee Wendell,U.S. House,CD-2,2022,-1.027,-1.441,-0.608,Democratic,West Virginia,2
