Candidate,Office,Seat,Year,Ideology,Lower,Upper,Party,State,Order
Brian Fitzpatrick,U.S. House,CD-1,2020,0.779,0.645,0.918,Republican,Pennsylvania,1
Brian Fitzpatrick,U.S. House,CD-1,2022,0.672,0.542,0.797,Republican,Pennsylvania,1
Brian Fitzpatrick,U.S. House,CD-1,2024,0.821,0.666,0.979,Republican,Pennsylvania,1
Mal Hyman,U.S. House,CD-7,2016,-0.708,-1.203,-0.234,Democratic,South Carolina,7
Monica Vernon,U.S. House,CD-1,2016,-1.658,-1.857,-1.459,Democratic,Iowa,1
Michael A. O'Reilly,U.S. House,CD-5,2016,0.278,-0.275,0.83,Republican,New York,5
Paula Hawks,U.S. House,CD-1,2016,-1.68,-1.931,-1.428,Democratic,South Dakota,1
Angie Craig,U.S. House,CD-2,2016,-2.081,-2.329,-1.826,Democratic,Minnesota,2
Angie Craig,U.S. House,CD-2,2018,-2.374,-2.553,-2.198,Democratic,Minnesota,2
Angie Craig,U.S. House,CD-2,2020,-2.383,-2.534,-2.231,Democratic,Minnesota,2
Angie Craig,U.S. House,CD-2,2022,-2.377,-2.531,-2.225,Democratic,Minnesota,2
Angie Craig,U.S. House,CD-2,2024,-2.25,-2.419,-2.076,Democratic,Minnesota,2
Jason Lewis,U.S. House,CD-2,2016,2.283,2.078,2.492,Republican,Minnesota,2
Jason Lewis,U.S. House,CD-2,2018,2.227,2.063,2.394,Republican,Minnesota,2
Jason Lewis,U.S. Senate,Sen-II,2020,2.244,2.151,2.335,Republican,Minnesota,101
Brett Murdock,U.S. House,CD-39,2016,-0.939,-1.402,-0.476,Democratic,California,39
Denise Juneau,U.S. House,CD-1,2016,-1.932,-2.117,-1.748,Democratic,Montana,1
Ed Albertson,U.S. House,CD-12,2016,-1.214,-1.559,-0.882,Democratic,Ohio,12
Michael Molesevich,U.S. House,CD-10,2016,-0.498,-0.826,-0.166,Democratic,Pennsylvania,10
Michael Molesevich,U.S. House,CD-15,2022,-1.101,-1.405,-0.789,Democratic,Pennsylvania,15
Mary Perry,U.S. House,CD-1,2016,0.542,0.108,0.97,Republican,Nevada,1
Dianne Curry,U.S. House,CD-2,2016,-1.399,-1.804,-0.999,Democratic,Arkansas,2
Mary Hoeft,U.S. House,CD-7,2016,-2.035,-2.339,-1.744,Democratic,Wisconsin,7
Chase Iron Eyes,U.S. House,CD-1,2016,-1.855,-2.15,-1.567,Democratic,North Dakota,1
