candidate_bonica,candidate_ces,bonica.rid,Unique_Project_ID,district_bonica,district_ces,check,cycle,seat,distcyc,state_ces,type,chamber,bioguide_id,Ran prior to 2019,Notes,year_ces,obs,id_lt_ces,state_bonica,id_lt_bonica,score,state,candidate,year
dan sullivan,dan sullivan,cand148091,76,AKS26,0,,2022,federal:senate,2022_AK_S,alaska,Sen,,S001198,4,,2022,135,0,alaska,0,1,,,
diane e benson,diane benson,cand141333,77,AK01,0,FALSE,2006,federal:house,2006_AK_1,alaska,Rep,,,1,,2006,129,0,alaska,5,0.9733305,,,
donald e young,don e. young,cand210,78,AK01,0,FALSE,2008,federal:house,2008_AK_1,alaska,Rep,,Y000033,1,,2008,68,0,alaska,1,0.9325552,,,
ethan a berkowitz,ethan a. berkowitz,cand53266,79,AK01,0,FALSE,2008,federal:house,2008_AK_1,alaska,Rep,,,1,,2008,51,1,alaska,7,0.9845726,,,
forrest dunbar,forest dunbar,cand162852,80,AK01,1,TRUE,2014,federal:house,2014_AK_1,alaska,Rep,,,2,,2014,18,2,alaska,6,0.92446655,,,
frank h murkowski,frank murkowski,cand574,81,AKS98,0,,2006,federal:senate,2006_AK_S,alaska,Gov,,M001085,1,,2006,130,2,alaska,2,0.9842035,,,
frank h murkowski,frank murkowski,cand574,81,,0,,2006,state:governor,,alaska,Gov,,M001085,1,,2006,130,2,alaska,2,0.9842035,,,
harry t crawford jr,"harry crawford, jr.",cand143800,82,AK01,0,FALSE,2010,federal:house,2010_AK_1,alaska,Rep,,,1,,2010,132,1,alaska,5,0.9701606,,,
joseph w miller,joseph miller,cand103310,83,AKS10,0,,2010,federal:senate,2010_AK_S,alaska,Sen,,,1,,2010,74,3,alaska,11,0.98484,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS16,0,,2012,federal:senate,2012_AK_S,alaska,Sen,Senate,M001153,13,,2012,40,1,alaska,1,1.0000002,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS16,0,,2014,federal:senate,2014_AK_S,alaska,Sen,Senate,M001153,13,,2014,18,3,alaska,1,1.0000002,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS16,0,,2016,federal:senate,2016_AK_S,alaska,Sen,Senate,M001153,13,,2016,114,3,alaska,1,1.0000002,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS22,0,,2018,federal:senate,2018_AK_S,alaska,Sen,Senate,M001153,13,,2018,97,4,alaska,2,1.0000002,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS22,0,,2020,federal:senate,2020_AK_S,alaska,Sen,Senate,M001153,13,,2020,115,4,alaska,3,1.0000002,,,
lisa murkowski,lisa murkowski,cand1573,84,AKS22,0,,2022,federal:senate,2022_AK_S,alaska,Sen,Senate,M001153,13,,2022,135,1,alaska,17,1.0000002,,,
mark begich,mark begich,cand1589,85,AKS14,0,,2010,federal:senate,2010_AK_S,alaska,Sen,Senate,B001265,9,,2010,133,4,alaska,4,1,,,
mark begich,mark begich,cand1589,85,AKS14,0,,2012,federal:senate,2012_AK_S,alaska,Sen,Senate,B001265,9,,2012,40,2,alaska,2,1,,,
mark begich,mark begich,cand1589,85,AKS14,0,,2014,federal:senate,2014_AK_S,alaska,Sen,Senate,B001265,9,,2014,18,4,alaska,2,1,,,
michael j mike dunleavy,mike dunleavy,cand122798,86,,0,,2022,state:governor,,alaska,Gov,,,0,,2022,135,3,alaska,27,0.9637164,,,
ray metcalfe,ray metcalfe,cand106725,87,AKS16,0,,2016,federal:senate,2016_AK_S,alaska,Sen,,,1,,2016,111,4,alaska,10,1,,,
sarah palin,sarah palin,cand210623,88,AK01,1,TRUE,2022,federal:house,2022_AK_1,alaska,Rep,,,0,,2022,135,5,alaska,14,1.0000002,,,
scott mcadams,scott mcadams,cand103311,89,AKS10,0,,2010,federal:senate,2010_AK_S,alaska,Sen,,,1,,2010,72,5,alaska,12,1,,,
sean r g parnell,sean parnell,cand141339,90,AK01,0,FALSE,2010,federal:house,2010_AK_1,alaska,Gov,,,8,,2010,134,7,alaska,9,0.9622529,,,
sean r g parnell,sean parnell,cand141339,90,,0,,2010,state:governor,,alaska,Gov,,,8,,2010,134,7,alaska,9,0.9622529,,,
sharon marie cissna,sharon cissna,cand40078,91,AK01,1,TRUE,2012,federal:house,2012_AK_1,alaska,Rep,,,2,,2012,39,4,alaska,4,0.9637183,,,
steve lindbeck,steve lindbeck,cand136988,92,AK,1,,2016,federal:house,2016_AK_NA,alaska,Rep,,,1,,2016,115,5,alaska,9,1,,,
ted stevens,ted stevens,cand138,93,AKS08,0,,2006,federal:senate,2006_AK_S,alaska,Sen,,S000888,3,,2006,127,5,alaska,0,1,,,
tony g knowles,tony knowles,cand105263,94,AKS04,0,,2006,federal:senate,2006_AK_S,alaska,Gov,,,1,,2006,130,6,alaska,6,0.9621414,,,
tony g knowles,tony knowles,cand105263,94,,0,,2006,state:governor,,alaska,Gov,,,1,,2006,130,6,alaska,6,0.9621414,,,
alcee l hastings,alcee l. hastings,cand1276,95,FL20,18,FALSE,2012,federal:house,2012_FL_20,florida,Rep,,H000324,3,,2012,6,4,florida,19,0.9849746,,,
andy biggs,andy biggs,cand160291,96,AZ05,5,TRUE,2018,federal:house,2018_AZ_5,arizona,Rep,,B001302,3,,2018,181,0,arizona,21,0.99999815,,,
andy tobin,andy tobin,cand160309,97,AZ01,1,TRUE,2014,federal:house,2014_AZ_1,arizona,Rep,,,2,,2014,18,0,arizona,10,0.99999994,,,
andy tobin,andy tobin,cand160309,97,1,1,,2014,state:lower,,arizona,Rep,,,2,,2014,18,0,arizona,10,0.99999994,,,
anita malik,anita malik,cand142385,98,AZ06,6,TRUE,2018,federal:house,2018_AZ_6,arizona,Rep,,,1,,2018,192,1,arizona,44,0.99999833,,,
ann kirkpatrick,ann kirkpatrick,cand1029,99,AZ01,1,TRUE,2008,federal:house,2008_AZ_1,arizona,Rep,House,K000368,9,,2008,46,0,arizona,7,0.99999905,,,
ben quayle,ben quayle,cand1095,100,AZ06,6,TRUE,2012,federal:house,2012_AZ_6,arizona,Rep,,Q000024,2,,2012,48,2,arizona,16,0.9999983,,,
robert james lord,bob lord,cand53372,101,AZ03,3,TRUE,2008,federal:house,2008_AZ_3,arizona,Rep,,,1,,2008,58,1,arizona,27,0.86510724,,,
brad sherman,brad sherman,cand1433,102,CA30,25,FALSE,2012,federal:house,2012_CA_30,california,Rep,,S000344,1,,2012,1,14,california,43,0.9999992,,,
brandon ray martin,brandon martin,cand143958,103,AZ02,2,TRUE,2020,federal:house,2020_AZ_2,arizona,Rep,,,0,,2020,252,2,arizona,24,0.94005543,,,
brian baird,brian baird,cand1542,104,WA03,3,TRUE,2006,federal:house,2006_WA_3,washington,Rep,House,B001229,6,,2006,150,1,washington,8,1,,,
brian baird,brian baird,cand1542,104,WA03,3,TRUE,2008,federal:house,2008_WA_3,washington,Rep,House,B001229,6,,2008,92,1,washington,8,1,,,
bruce l braley,bruce braley,cand984,105,IA01,1,TRUE,2008,federal:house,2008_IA_1,iowa,Rep,House,B001259,9,,2008,55,0,iowa,4,0.9844979,,,
charles k djou,charles djou,cand1088,106,HI01,1,TRUE,2010,federal:house,2010_HI_1,hawaii,Rep,House,D000611,5,,2010,150,2,hawaii,5,0.980001,,,
charles k djou,charles djou,cand1088,106,HI01,1,TRUE,2012,federal:house,2012_HI_1,hawaii,Rep,House,D000611,5,,2012,41,0,hawaii,4,0.980001,,,
daniel wood,daniel wood,cand152606,107,AZ03,3,TRUE,2020,federal:house,2020_AZ_3,arizona,Rep,,,0,,2020,115,3,arizona,7,0.99999535,,,
david victor giles,dave giles,cand141965,108,AZ09,9,TRUE,2016,federal:house,2016_AZ_9,arizona,Rep,,,1,,2016,197,2,arizona,29,0.9253922,,,
david h brill,david brill,cand143960,109,AZ04,4,TRUE,2018,federal:house,2018_AZ_4,arizona,Rep,,,1,,2018,201,3,arizona,63,0.97515094,,,
david schweikert,david schweikert,cand1096,110,AZ06,6,TRUE,2012,federal:house,2012_AZ_6,arizona,Rep,House,S001183,9,,2012,92,7,arizona,55,1,,,
david schweikert,david schweikert,cand1096,110,AZ06,6,TRUE,2014,federal:house,2014_AZ_6,arizona,Rep,House,S001183,9,,2014,44,2,arizona,30,1,,,
dean heller,dean heller,cand994,111,NV02,2,TRUE,2006,federal:house,2006_NV_2,nevada,Rep,House,H001041,6,,2006,156,0,nevada,2,1,,,
dean heller,dean heller,cand994,111,NV02,2,TRUE,2008,federal:house,2008_NV_2,nevada,Rep,House,H001041,6,,2008,130,0,nevada,2,1,,,
dean heller,dean heller,cand994,111,NVS18,0,,2014,federal:senate,2014_NV_S,nevada,Sen,Senate,H001041,10,,2014,91,3,nevada,1,1,,,
dean heller,dean heller,cand994,111,NVS18,0,,2016,federal:senate,2016_NV_S,nevada,Sen,Senate,H001041,10,,2016,683,4,nevada,1,1,,,
debbie lesko,debbie lesko,cand143404,112,AZ08,8,TRUE,2020,federal:house,2020_AZ_8,arizona,Rep,House,L000589,1,,2020,193,6,arizona,18,0.9999965,,,
debbie lesko,debbie lesko,cand143404,112,AZ08,8,TRUE,2022,federal:house,2022_AZ_8,arizona,Rep,House,L000589,1,,2022,174,4,arizona,9,0.9999965,,,
delina disanto,delina disanto,cand144574,113,AZ04,4,TRUE,2020,federal:house,2020_AZ_4,arizona,Rep,,,0,,2020,187,7,arizona,22,0.99999994,,,
laura knaperek,don karg,,114,AZ05,4,FALSE,2008,federal:house,2008_AZ_5,arizona,Rep,,,2,,2008,10,3,arizona,30,0.7904222,,,
douglas a ducey,doug ducey,cand160318,115,,0,,2018,state:governor,,arizona,Gov,,,4,,2018,1587,6,arizona,75,0.95326865,,,
douglas l lamborn,douglas lamborn,cand163454,116,CO05,5,TRUE,2010,federal:house,2010_CO_5,colorado,Rep,,L000564,2,,2010,134,3,colorado,2,0.99168766,,,
edward l pastor,ed pastor,cand1191,117,AZ04,4,TRUE,2006,federal:house,2006_AZ_4,arizona,Rep,House,P000099,6,,2006,67,1,arizona,9,0.9116295,,,
edward l pastor,ed pastor,cand1191,117,AZ07,7,TRUE,2014,federal:house,2014_AZ_7,arizona,Rep,House,P000099,5,,2014,11,3,arizona,5,0.9116295,,,
edward r royce,edward r. royce,cand1260,118,CA40,40,TRUE,2006,federal:house,2006_CA_40,california,Rep,,R000487,1,,2006,45,27,california,44,0.9880264,,,
ellen simon,ellen simon,cand49264,119,AZ01,1,TRUE,2006,federal:house,2006_AZ_1,arizona,Rep,,,1,,2006,87,2,arizona,19,0.9999999,,,
linda sanchez,david sanchez,,120,CA38,40,FALSE,2014,federal:house,2014_CA_38,california,Rep,,,4,,2014,6,27,california,18,0.8771224,,,
evangeline martinez nunez,eve nunez,cand138114,121,AZ07,7,TRUE,2016,federal:house,2016_AZ_7,arizona,Rep,,,1,,2016,131,5,arizona,46,0.90136904,,,
gabriela saucedo mercer,gabriela saucedo mercer,cand40333,123,AZ03,3,TRUE,2012,federal:house,2012_AZ_3,arizona,Rep,,,2,,2012,32,15,arizona,40,1,,,
gabrielle giffords,gabrielle giffords,cand159692,124,AZ08,8,TRUE,2010,federal:house,2010_AZ_8,arizona,Rep,House,G000554,6,,2010,239,4,arizona,6,0.99993867,,,
gene paul scharer,gene scharer,cand150586,125,AZ08,8,TRUE,2012,federal:house,2012_AZ_8,arizona,Rep,,,2,,2012,75,17,arizona,12,0.9171491,,,
gary tupper,glenn fuller,,126,,6,,2006,state:governor,,arizona,Rep,,,1,Was disqualified before running in the general,2006,114,4,arizona,39,0.83317393,,,
greg stanton,greg stanton,cand142389,127,AZ09,9,TRUE,2018,federal:house,2018_AZ_9,arizona,Rep,House,S001211,1,,2018,181,7,arizona,47,0.9999985,,,
gus michael bilirakis,gus michael bilirakis,cand1022,128,FL12,13,FALSE,2012,federal:house,2012_FL_12,florida,Rep,,B001257,2,,2012,5,39,florida,12,1.0000001,,,
